Species,UniqueID,Functional_Type,Germ_date,Trans_date,Mass_init_wet,Harv_date,Harv_diam_mm,AG_drymass,BG_drymass
Acaexu,Acaexu1,Tree,5/24/2019,8/23/2019,0.1846,10/24/2019,2.82,0.6310,0.439
Acaexu,Acaexu2,Tree,5/24/2019,8/23/2019,0.3000,10/24/2019,1.37,0.0830,0.077
Acaexu,Acaexu3,Tree,5/24/2019,8/23/2019,0.4747,10/24/2019,1.55,0.2480,0.145
Acager,Acager1,Tree,5/24/2019,6/14/2019,0.4710,8/20/2019,1.16,1.7279,0.715
Acager,Acager2,Tree,5/24/2019,6/14/2019,0.5659,8/20/2019,1.05,1.7494,1.096
Acager,Acager3,Tree,5/31/2019,6/14/2019,0.2085,8/20/2019,1.06,2.0449,1.573
Acanig,Acanig1,Tree,6/26/2019,7/18/2019,0.6557,8/30/2019,NA,2.9280,0.6635
Acanig,Acanig2,Tree,6/26/2019,7/18/2019,0.5998,8/30/2019,NA,1.5910,0.7675
Acaxan,Acaxan1,Tree,6/25/2019,7/18/2019,0.3571,10/24/2019,2.22,1.8600,0.589
Acaxan,Acaxan2,Tree,5/24/2019,6/14/2019,0.2735,7/30/2019,2.73,2.2140,1.082
Acaxan,Acaxan3,Tree,5/24/2019,6/14/2019,0.2813,7/30/2019,2.58,2.2680,0.712
Albhar,Albhar2,Tree,5/29/2019,6/12/2019,0.2716,8/20/2019,1.24,3.0240,1.986
Albhar,Albhar3,Tree,6/24/2019,8/9/2019,1.0681,10/24/2019,2.91,3.4790,3.363
Berdis,Berdis1,Tree,5/20/2019,6/12/2019,0.1977,10/24/2019,3.40,3.3060,1.673
Berdis,Berdis2,Tree,5/24/2019,6/12/2019,0.1560,8/30/2019,NA,1.2730,0.4562
Berdis,Berdis3,Tree,6/12/2019,8/23/2019,0.4903,10/24/2019,1.94,0.5689,0.477
Braspi,Braspi2,Tree,6/3/2019,6/12/2019,0.7288,10/24/2019,2.11,1.1500,1.001
Colmop,Colmop2,Tree,6/24/2019,7/18/2019,1.8451,10/24/2019,4.32,5.3033,3.528
Colmop,Colmop3,Tree,5/27/2019,6/14/2019,1.5863,8/20/2019,1.10,2.4503,0.676
Comapi,Comapi1,Tree,5/27/2019,6/14/2019,0.5803,8/20/2019,1.67,4.7814,1.524
Comapi,Comapi2,Tree,5/27/2019,6/14/2019,0.2993,8/30/2019,NA,1.9360,0.781
Comapi,Comapi3,Tree,5/27/2019,6/14/2019,0.7889,7/30/2019,2.08,2.4200,0.681
Comzeh,Comzeh1,Tree,6/10/2019,8/9/2019,1.7098,10/24/2019,3.50,2.5930,1.57
Comzeh,Comzeh2,Tree,6/10/2019,8/9/2019,4.1759,10/24/2019,3.89,3.0000,2.6
Pelafr,Pelafr1,Tree,7/12/2019,8/9/2019,0.7738,10/24/2019,5.77,7.8470,3.093
Schbra,Schbra1,Tree,5/29/2019,6/12/2019,0.5026,8/30/2019,NA,3.0810,0.8681
Schbra,Schbra2,Tree,5/31/2019,6/12/2019,1.4300,8/30/2019,NA,3.1940,0.6343
Schbra,Schbra3,Tree,5/29/2019,8/23/2019,0.8448,10/24/2019,1.49,0.2580,0.173
Sclbir,Sclbir1,Tree,7/5/2019,7/18/2019,1.5129,8/30/2019,NA,2.5760,0.8833
Sclbir,Sclbir2,Tree,6/26/2019,7/18/2019,3.0907,8/30/2019,NA,2.0490,1.7355
Sclbir,Sclbir3,Tree,7/5/2019,8/9/2019,7.1724,8/30/2019,NA,1.7620,1.4952
Aricon,Aricon2,Grass,5/13/2019,6/10/2019,0.0331,8/14/2019,NA,1.5930,0.471
Aricon,Aricon3,Grass,5/13/2019,7/9/2019,0.0426,10/24/2019,NA,2.8680,1.415
Arimer,Arimer1,Grass,5/15/2019,6/12/2019,0.0164,8/13/2019,NA,5.1190,8.566
Arimer,Arimer3,Grass,5/15/2019,6/12/2019,0.0121,8/14/2019,NA,3.8310,3.239
Chlvir,Chlvir1,Grass,5/7/2019,6/10/2019,0.0140,7/11/2019,NA,5.5830,7.694
Chlvir,Chlvir2,Grass,5/7/2019,6/10/2019,0.0515,7/11/2019,NA,1.2160,2.298
Chlvir,Chlvir3,Grass,5/7/2019,7/9/2019,0.0539,8/14/2019,NA,7.7320,4.356
Eragum,Eragum1,Grass,5/13/2019,6/12/2019,0.0330,8/14/2019,NA,6.1510,3.204
Eragum,Eragum2,Grass,5/13/2019,6/12/2019,0.0122,8/14/2019,NA,3.4980,1.1646
Eragum,Eragum3,Grass,5/13/2019,6/12/2019,0.0210,7/30/2019,NA,3.0430,5.975
Erasup,Erasup1,Grass,5/15/2019,6/12/2019,0.0259,7/18/2019,NA,1.6610,4.261
Erasup,Erasup2,Grass,5/15/2019,6/12/2019,0.0144,7/30/2019,NA,2.9310,6.904
Erasup,Erasup3,Grass,5/15/2019,6/12/2019,0.0187,7/18/2019,NA,2.3890,6.527
Eratri,Eratri1,Grass,5/9/2019,6/12/2019,0.0428,7/18/2019,NA,1.2480,3.187
Eratri,Eratri2,Grass,5/9/2019,6/12/2019,0.0266,7/30/2019,NA,2.4510,3.942
Eratri,Eratri3,Grass,5/9/2019,6/12/2019,0.0402,7/18/2019,NA,1.5030,3.782
Melrep,Melrep3,Grass,5/9/2019,6/12/2019,0.0484,7/18/2019,NA,2.0320,4.144
Panmax,Panmax1,Grass,5/15/2019,6/12/2019,0.1392,7/11/2019,NA,8.0160,4.476
Panmax,Panmax2,Grass,5/15/2019,6/17/2019,0.0996,7/11/2019,NA,4.8310,2.213
Panmax,Panmax3,Grass,5/15/2019,6/12/2019,0.0727,7/11/2019,NA,6.5830,8.054
Perpat,Perpat1,Grass,5/9/2019,6/10/2019,0.0253,7/30/2019,NA,4.7060,4.272
Perpat,Perpat2,Grass,5/9/2019,7/9/2019,0.1007,8/14/2019,NA,2.2690,1.323
Perpat,Perpat3,Grass,5/9/2019,7/9/2019,0.0704,8/30/2019,NA,3.7567,1.4717
Pogsqu,Pogsqu1,Grass,5/9/2019,7/9/2019,0.0663,8/30/2019,NA,1.9470,4.562
Pogsqu,Pogsqu2,Grass,5/9/2019,6/10/2019,0.0110,8/14/2019,NA,4.3950,6.521
Pogsqu,Pogsqu3,Grass,5/9/2019,6/10/2019,0.0164,7/30/2019,NA,5.8650,12.083
Schpap,Schpap1,Grass,5/13/2019,7/9/2019,0.1466,8/14/2019,NA,3.7900,3.667
Setsph,Setsph1,Grass,5/13/2019,7/9/2019,0.1239,8/30/2019,NA,2.1045,2.4572
Thetri,Thetri1,Grass,5/13/2019,7/9/2019,0.2676,8/14/2019,NA,1.8740,2.694
Thetri,Thetri3,Grass,5/13/2019,6/10/2019,0.0905,7/11/2019,NA,0.6430,0.824
Trimon,Trimon1,Grass,5/13/2019,6/12/2019,0.1796,7/18/2019,NA,3.9120,4.306
Trimon,Trimon2,Grass,5/13/2019,6/12/2019,0.2793,7/18/2019,NA,5.4640,3.885
Trimon,Trimon3,Grass,5/13/2019,6/12/2019,0.2564,7/11/2019,NA,3.7930,1.237
Trigra,Trigra1,Grass,5/7/2019,6/10/2019,0.0219,7/18/2019,NA,0.8050,1.233
Trigra,Trigra2,Grass,5/7/2019,6/10/2019,0.0195,7/30/2019,NA,3.0110,7.649
Trigra,Trigra3,Grass,5/7/2019,7/9/2019,0.0286,8/30/2019,NA,1.4201,1.1738
Uromos,Uromos1,Grass,5/13/2019,6/12/2019,0.0987,7/11/2019,NA,5.1640,8.572
Uromos,Uromos2,Grass,5/13/2019,7/9/2019,0.1036,8/14/2019,NA,5.6350,2.694
Uromos,Uromos3,Grass,5/13/2019,7/9/2019,0.0990,8/14/2019,NA,5.0580,1.708
